S/T code,S/T name,LGA_code,LGA name,Males,Male_Percent,Females,Female_Percent,Overall,Overall_Percent,
5,Western Australia,56790,Northampton,277,15.4317549,237,15.05717916,514,15.25675275,
5,Western Australia,56860,Nungarin,27,20.1492537,16,13.1147541,43,16.796875,
5,Western Australia,56930,Peppermint Grove,114,14.84375,141,14.5661157,255,14.68894009,
5,Western Australia,57000,Perenjori,46,11.5288221,53,21.2,99,15.25423729,
5,Western Australia,57080,Perth,1015,5.76737315,997,6.534705381,2012,6.123691259,
5,Western Australia,57140,Pingelly,93,17.032967,68,12.6394052,161,14.85239852,
5,Western Australia,57210,Plantagenet,473,16.3047225,447,16.14884393,920,16.22861175,
5,Western Australia,57280,Port Hedland,2096,22.8945931,2050,25.33366288,4146,24.0389633,
5,Western Australia,57350,Quairading,84,18.1425486,95,18.62745098,179,18.3967112,
5,Western Australia,57420,Ravensthorpe,233,19.3360996,226,21.08208955,459,20.15810277,
5,Western Australia,57490,Rockingham,16084,21.7186994,15124,20.22844609,31208,20.97001787,
5,Western Australia,57630,Sandstone,0,0,1,2.43902439,1,0.862068966,
5,Western Australia,57700,Serpentine-Jarrahdale,4580,24.8009964,4446,24.33231173,9026,24.56789787,
5,Western Australia,57770,Shark Bay,99,16.5275459,66,12.45283019,165,14.61470328,
5,Western Australia,57840,South Perth,3346,14.4075095,2982,12.70179324,6328,13.55003105,
5,Western Australia,57910,Stirling,20878,17.4375679,19700,15.86905213,40578,16.63912478,
5,Western Australia,57980,Subiaco,1430,15.6867047,1373,14.0762764,2803,14.85426603,
5,Western Australia,58050,Swan,18817,21.9166754,17620,20.5526589,36437,21.23516796,
5,Western Australia,58190,Tammin,35,15.3508772,34,19.31818182,69,17.07920792,
5,Western Australia,58260,Three Springs,61,19.6141479,55,19.5035461,116,19.56155143,
5,Western Australia,58330,Toodyay,365,14.207863,350,14.67505241,715,14.43278159,
5,Western Australia,58400,Trayning,7,4.54545455,20,13.42281879,27,8.910891089,
5,Western Australia,58470,Upper Gascoyne,23,20.3539823,21,23.86363636,44,21.89054726,
5,Western Australia,58510,Victoria Park,2772,13.4615385,2684,13.29370976,5456,13.37845128,
5,Western Australia,58540,Victoria Plains,66,15.75179,79,19.50617284,145,17.59708738,
5,Western Australia,58570,Vincent,2856,14.0103017,2707,13.71327254,5563,13.86417445,
5,Western Australia,58610,Wagin,160,18.3908046,163,17.23044397,323,17.78634361,
5,Western Australia,58680,Wandering,37,13.1672598,50,18.93939394,87,15.96330275,
5,Western Australia,58760,Wanneroo,25037,21.9580432,23749,20.57686976,48786,21.26326066,
5,Western Australia,58820,Waroona,364,16.4408311,377,16.80784663,741,16.62553287,
5,Western Australia,58890,West Arthur,63,14.416476,54,15.42857143,117,14.86658196,
5,Western Australia,59030,Westonia,16,12.8,22,18.48739496,38,15.57377049,
5,Western Australia,59100,Wickepin,72,19.1489362,80,24.61538462,152,21.68330956,
5,Western Australia,59170,Williams,121,22.4489796,120,23.03262956,241,22.73584906,
5,Western Australia,59250,Wiluna,24,6.59340659,51,25,75,13.20422535,
5,Western Australia,59310,Wongan-Ballidu,149,21.1048159,114,18.0952381,263,19.68562874,
5,Western Australia,59320,Woodanilling,57,21.7557252,45,20.73732719,102,21.29436326,
5,Western Australia,59330,Wyalkatchem,28,10.6870229,25,10.91703057,53,10.79429735,
5,Western Australia,59340,Wyndham-East Kimberley,931,22.7962782,965,23.39393939,1896,23.09660129,
5,Western Australia,59350,Yalgoo,18,7.43801653,7,6.086956522,25,7.00280112,
5,Western Australia,59360,Yilgarn,72,9.93103448,82,17.33615222,154,12.85475793,
5,Western Australia,59370,York,279,15.2043597,265,14.99717035,544,15.10272071,
6,Tasmania,60210,Break O`Day,460,12.5,395,11.634757,855,12.08480565,
6,Tasmania,60410,Brighton,2312,23.6836714,2119,20.70144588,4431,22.15721572,
6,Tasmania,60610,Burnie,1913,19.1587381,1827,17.43653369,3740,18.27689,
6,Tasmania,60810,Central Coast (Tas.),1914,16.7703496,1790,15.01929854,3704,15.8758733,
6,Tasmania,61010,Central Highlands (Tas.),151,10.5964912,197,16.83760684,348,13.41040462,
6,Tasmania,61210,Circular Head,828,18.8954815,772,19.44584383,1600,19.15708812,
6,Tasmania,61410,Clarence,5474,17.6364456,5312,16.28199234,10786,16.94233699,
6,Tasmania,61510,Derwent Valley,1019,17.8302712,940,16.70814077,1959,17.27360903,
6,Tasmania,61610,Devonport,2295,17.3495615,2211,16.08116954,4506,16.70311747,
6,Tasmania,61810,Dorset,565,16.1336379,547,15.63303801,1112,15.88344522,
6,Tasmania,62010,Flinders (Tas.),50,10.4166667,59,13.02428256,109,11.68274384,
6,Tasmania,62210,George Town,599,16.1499056,548,15.1339409,1147,15.64802183,
6,Tasmania,62410,Glamorgan-Spring Bay,261,9.60618329,223,8.849206349,484,9.241932404,
6,Tasmania,62610,Glenorchy,4270,17.0459082,3975,15.43209877,8245,16.22775941,
6,Tasmania,62810,Hobart,3789,13.8335159,3521,12.32239098,7310,13.06196841,
6,Tasmania,63010,Huon Valley,1675,16.9637432,1562,16.30480167,3237,16.63925157,
6,Tasmania,63210,Kentish,517,14.4817927,480,14.71941122,997,14.59522764,
6,Tasmania,63410,King Island,154,17.3814898,148,19.42257218,302,18.32524272,
6,Tasmania,63610,Kingborough,3691,18.4642321,3558,16.79173156,7249,17.60363292,
6,Tasmania,63810,Latrobe (Tas.),1022,15.7959815,928,14.0776699,1950,14.9288011,
6,Tasmania,64010,Launceston,6212,17.456303,5961,16.46594111,12173,16.95687301,
6,Tasmania,64210,Meander Valley,1830,17.1107994,1661,15.44541566,3491,16.27581705,
6,Tasmania,64610,Northern Midlands,1216,16.9006254,1100,15.52795031,2316,16.21962322,
6,Tasmania,64810,Sorell,1516,17.4573929,1554,17.36118869,3070,17.40856252,
6,Tasmania,65010,Southern Midlands,606,16.5936473,525,16.10429448,1131,16.36284722,
6,Tasmania,65210,Tasman,136,9.51714486,126,10.02386635,262,9.754281459,
6,Tasmania,65410,Waratah-Wynyard,1277,17.5556778,1177,15.70799413,2454,16.61813503,
