"Year","StateName","LGA_Name","Total_Persons","Percent_Change"
2022,"Western Australia","Perth",30580,3.12615924189795
2023,"New South Wales","Other LGA",8111199,2.04782605468326
2023,"New South Wales","Sydney",231086,5.86920169510938
2023,"Northern Territory","Darwin",85465,0.6927671807439
2023,"Northern Territory","Other LGA",167064,1.03597801041421
2023,"Queensland","Brisbane",1323162,3.09560615599424
2023,"Queensland","Other LGA",4137258,2.47055796036616
2023,"South Australia","Adelaide",27901,6.56150937631288
2023,"South Australia","Other LGA",1824383,1.63512405349877
2023,"Victoria","Melbourne",177396,10.6456763634549
2023,"Victoria","Other LGA",6638045,2.59249064533763
2023,"Western Australia","Other LGA",2848371,3.15647392777235
2023,"Western Australia","Perth",32856,7.44277305428384
